"","ID","total_energy","kitchen","laundry_room","water_air_systems","Average_Global_intensity","Average_Voltage","Daily_Bill","Kitchen_Bill","Laundry_Bill","Water_Air_Bill","Unmeasured_Bill","year","month","day","Weekday"
"14",2007-01-14,50183.8166666667,1777,4215,12991.5,8.97166666666667,238.817805555556,9.03,0.32,0.76,2.34,5.61,2007,"enero",14,"domingo"
"15",2007-01-15,35811.3,1099,2239,15163,6.26152777777778,241.240909722222,6.44,0.2,0.4,2.73,3.11,2007,"enero",15,"lunes"
"16",2007-01-16,28106.7333333333,2063,644,6583,4.97597222222222,241.944756944444,5.06,0.37,0.12,1.18,3.39,2007,"enero",16,"martes"
"17",2007-01-17,47461.4666666667,3500,5737,16064,8.28388888888889,241.00525,8.54,0.63,1.03,2.89,3.99,2007,"enero",17,"miércoles"
"18",2007-01-18,30357.7,0,336,13491,5.3425,240.893597222222,5.46,0,0.06,2.43,2.97,2007,"enero",18,"jueves"
"19",2007-01-19,24674,2103,330,7172,4.37625,240.160944444444,4.44,0.38,0.06,1.29,2.71,2007,"enero",19,"viernes"
"20",2007-01-20,52228.8666666667,4324,5222,11440,9.34805555555556,238.867472222222,9.4,0.78,0.94,2.06,5.62,2007,"enero",20,"sábado"
"21",2007-01-21,56787.7,10346,5567,11599,10.1906944444444,238.968118055556,10.22,1.86,1,2.09,5.27,2007,"enero",21,"domingo"
"22",2007-01-22,36341.5666666667,1054,2983,11361,6.35527777777778,241.603131944444,6.54,0.19,0.54,2.04,3.77,2007,"enero",22,"lunes"
"23",2007-01-23,29627.3333333333,0,1064,5061,5.26083333333333,242.762555555556,5.33,0,0.19,0.91,4.23,2007,"enero",23,"martes"
"24",2007-01-24,49797.5666666667,3464,2480,11744,8.73361111111111,241.457694444444,8.96,0.62,0.45,2.11,5.78,2007,"enero",24,"miércoles"
"25",2007-01-25,26605.7333333333,1158,262,11239,4.62930555555556,243.424361111111,4.79,0.21,0.05,2.02,2.51,2007,"enero",25,"jueves"
"26",2007-01-26,26966.2,1163,261,8238,4.72138888888889,242.771791666667,4.85,0.21,0.05,1.48,3.11,2007,"enero",26,"viernes"
"27",2007-01-27,34067.8666666667,1170,3896,12374,5.94986111111111,241.616569444444,6.13,0.21,0.7,2.23,2.99,2007,"enero",27,"sábado"
"28",2007-01-28,51540.4166666667,3466,3997.5,12061,9.13388888888889,240.301520833333,9.27,0.62,0.72,2.17,5.76,2007,"enero",28,"domingo"
"29",2007-01-29,33044.4,1123,294,15254,5.78888888888889,240.929597222222,5.94,0.2,0.05,2.74,2.95,2007,"enero",29,"lunes"
"30",2007-01-30,28463.3,1123,1424,8149,5.02819444444444,241.840875,5.12,0.2,0.26,1.47,3.19,2007,"enero",30,"martes"
"31",2007-01-31,39395.8666666667,0,5950,15052,6.92361111111111,239.921131944444,7.09,0,1.07,2.71,3.31,2007,"enero",31,"miércoles"
"32",2007-02-01,30412.6666666667,1170,386,13145,5.3325,240.392138888889,5.47,0.21,0.07,2.36,2.83,2007,"febrero",1,"jueves"
"33",2007-02-02,27795.6,0,356,11338,4.87083333333333,240.334388888889,5,0,0.06,2.04,2.9,2007,"febrero",2,"viernes"
"34",2007-02-03,67162.0333333333,4746,4573,17834,11.8159722222222,238.910194444444,12.08,0.85,0.82,3.21,7.2,2007,"febrero",3,"sábado"
"35",2007-02-04,59932.3333333333,3391,4597,14472,10.5654166666667,239.633333333333,10.78,0.61,0.83,2.6,6.74,2007,"febrero",4,"domingo"
"36",2007-02-05,27421.3333333333,896,2564,7849,4.82041666666667,240.8103125,4.93,0.16,0.46,1.41,2.9,2007,"febrero",5,"lunes"
"37",2007-02-06,21224.6666666667,1185,405,4517,3.77194444444444,241.264159722222,3.82,0.21,0.07,0.81,2.73,2007,"febrero",6,"martes"
"38",2007-02-07,38800.3,3299,3513,11986,6.79166666666667,241.149694444444,6.98,0.59,0.63,2.16,3.6,2007,"febrero",7,"miércoles"
"39",2007-02-08,30023.5666666667,2226,366,10157,5.24833333333333,241.797305555556,5.4,0.4,0.07,1.83,3.1,2007,"febrero",8,"jueves"
"40",2007-02-09,27003.3,0,3045,9770,4.72722222222222,241.740444444444,4.86,0,0.55,1.76,2.55,2007,"febrero",9,"viernes"
"41",2007-02-10,47155.4666666667,5071,2831,14405,8.30375,240.036826388889,8.48,0.91,0.51,2.59,4.47,2007,"febrero",10,"sábado"
"42",2007-02-11,59520.4666666667,2430,4765,13114,10.5268055555556,239.506145833333,10.71,0.44,0.86,2.36,7.05,2007,"febrero",11,"domingo"
"43",2007-02-12,31293.5,2227,399,11517,5.50347222222222,240.0985,5.63,0.4,0.07,2.07,3.09,2007,"febrero",12,"lunes"
"44",2007-02-13,23575.7666666667,0,2828,6256,4.14375,241.166854166667,4.24,0,0.51,1.13,2.6,2007,"febrero",13,"martes"
"45",2007-02-14,41644.5333333333,3295,3793,11579,7.31513888888889,240.375388888889,7.49,0.59,0.68,2.08,4.14,2007,"febrero",14,"miércoles"
"46",2007-02-15,33089.1,0,2363,14028,5.82027777777778,240.669222222222,5.95,0,0.43,2.52,3,2007,"febrero",15,"jueves"
"47",2007-02-16,28375.4666666667,1148,859,8689,5.04652777777778,240.820944444444,5.1,0.21,0.15,1.56,3.18,2007,"febrero",16,"viernes"
"48",2007-02-17,34615.2,1765,2226,7157,6.12916666666667,239.316034722222,6.23,0.32,0.4,1.29,4.22,2007,"febrero",17,"sábado"
"49",2007-02-18,63829.3666666667,6107,8003,13129,11.2388888888889,239.170805555556,11.48,1.1,1.44,2.36,6.58,2007,"febrero",18,"domingo"
"50",2007-02-19,36443.5666666667,1634,2900,13085,6.44222222222222,239.789583333333,6.56,0.29,0.52,2.35,3.4,2007,"febrero",19,"lunes"
"51",2007-02-20,52498.8,2058,5191,9713,9.16847222222222,239.865444444444,9.44,0.37,0.93,1.75,6.39,2007,"febrero",20,"martes"
"52",2007-02-21,34547.9,3527,2332,11548,6.07444444444444,240.460965277778,6.22,0.63,0.42,2.08,3.09,2007,"febrero",21,"miércoles"
"53",2007-02-22,56290.3333333333,1409,4165,12285,9.88027777777778,238.620180555556,10.13,0.25,0.75,2.21,6.92,2007,"febrero",22,"jueves"
"54",2007-02-23,21891.3333333333,0,503,10786,3.82541666666667,240.685965277778,3.94,0,0.09,1.94,1.91,2007,"febrero",23,"viernes"
"55",2007-02-24,11915.3666666667,0,363,3562,2.08583333333333,239.863104166667,2.14,0,0.07,0.64,1.43,2007,"febrero",24,"sábado"
"56",2007-02-25,8362.33333333333,0,329,1660,1.46222222222222,241.681548611111,1.5,0,0.06,0.3,1.14,2007,"febrero",25,"domingo"
"57",2007-02-26,9474.73333333333,0,331,2830,1.65888888888889,241.273590277778,1.7,0,0.06,0.51,1.13,2007,"febrero",26,"lunes"
"58",2007-02-27,8635.2,0,314,1924,1.52458333333333,242.944270833333,1.55,0,0.06,0.35,1.14,2007,"febrero",27,"martes"
"59",2007-02-28,8679.56666666667,0,340,1973,1.52847222222222,242.159590277778,1.56,0,0.06,0.35,1.15,2007,"febrero",28,"miércoles"
"60",2007-03-01,8626.06666666667,0,316,1980,1.50888888888889,241.321402777778,1.55,0,0.06,0.36,1.13,2007,"marzo",1,"jueves"
"61",2007-03-02,8594.8,0,340,1969,1.50680555555556,240.591597222222,1.55,0,0.06,0.35,1.14,2007,"marzo",2,"viernes"
"62",2007-03-03,13652.0333333333,0,347,4597,2.40111111111111,241.288083333333,2.46,0,0.06,0.83,1.57,2007,"marzo",3,"sábado"
"63",2007-03-04,34845,1476,8711,9408,6.15819444444444,240.029798611111,6.27,0.27,1.57,1.69,2.74,2007,"marzo",4,"domingo"
"64",2007-03-05,44338.8666666667,5727,12109,10026,7.84027777777778,240.030909722222,7.98,1.03,2.18,1.8,2.97,2007,"marzo",5,"lunes"
"65",2007-03-06,20775,0,1740,4700,3.69569444444444,240.988069444444,3.74,0,0.31,0.85,2.58,2007,"marzo",6,"martes"
"66",2007-03-07,39586.7666666667,1076,4761,15513,6.935,240.3235625,7.12,0.19,0.86,2.79,3.28,2007,"marzo",7,"miércoles"
"67",2007-03-08,26202.2,2180,3385,6655,4.66513888888889,240.665423611111,4.71,0.39,0.61,1.2,2.51,2007,"marzo",8,"jueves"
"68",2007-03-09,21210.2,1093,345,8631,3.73125,240.888465277778,3.82,0.2,0.06,1.55,2.01,2007,"marzo",9,"viernes"
"69",2007-03-10,41411.8666666667,4130,5422,10979,7.34194444444444,239.802833333333,7.45,0.74,0.98,1.98,3.75,2007,"marzo",10,"sábado"
"70",2007-03-11,58010.6,4810,3420,9500,10.1215277777778,240.007291666667,10.44,0.87,0.62,1.71,7.24,2007,"marzo",11,"domingo"
"71",2007-03-12,32511.1333333333,1403,2841,12353,5.72847222222222,240.558715277778,5.85,0.25,0.51,2.22,2.87,2007,"marzo",12,"lunes"
"72",2007-03-13,21502.4,1350,3859,5323,3.80569444444444,240.897965277778,3.87,0.24,0.69,0.96,1.98,2007,"marzo",13,"martes"
"73",2007-03-14,29889.4,3485,480,8607,5.2675,240.777291666667,5.38,0.63,0.09,1.55,3.11,2007,"marzo",14,"miércoles"
"74",2007-03-15,31413.5666666667,0,3263,11036,5.52319444444444,240.280493055556,5.65,0,0.59,1.99,3.07,2007,"marzo",15,"jueves"
"75",2007-03-16,28367.5666666667,1106,4604,5370,4.99236111111111,239.527131944444,5.1,0.2,0.83,0.97,3.1,2007,"marzo",16,"viernes"
"76",2007-03-17,33801.5,2208,359,12275,5.94611111111111,238.224652777778,6.08,0.4,0.06,2.21,3.41,2007,"marzo",17,"sábado"
"77",2007-03-18,39517.4333333333,6564,7369,5856,7.00791666666667,241.047819444444,7.11,1.18,1.33,1.05,3.55,2007,"marzo",18,"domingo"
"78",2007-03-19,35875.3,1648,2686,14118,6.28194444444444,240.497090277778,6.45,0.3,0.48,2.54,3.13,2007,"marzo",19,"lunes"
"79",2007-03-20,34770.4666666667,3745,2837,11255,6.15125,240.815638888889,6.26,0.67,0.51,2.02,3.06,2007,"marzo",20,"martes"
"80",2007-03-21,35701.5333333333,1865,4133,12335,6.23722222222222,240.986645833333,6.42,0.34,0.74,2.22,3.12,2007,"marzo",21,"miércoles"
"81",2007-03-22,24249.6333333333,353,736,10462,4.22305555555556,241.763527777778,4.36,0.06,0.13,1.88,2.29,2007,"marzo",22,"jueves"
"82",2007-03-23,21816.8,1127,777,8369,3.80375,241.645479166667,3.92,0.2,0.14,1.51,2.07,2007,"marzo",23,"viernes"
"83",2007-03-24,49473.8333333333,3707,5797,16382,8.70333333333333,239.704472222222,8.9,0.67,1.04,2.95,4.24,2007,"marzo",24,"sábado"
"84",2007-03-25,55610.8833333333,4630,3600,9358,9.71715277777778,240.034538194444,10,0.83,0.65,1.68,6.84,2007,"marzo",25,"domingo"
"85",2007-03-26,23601.3666666667,1088,344,9096,4.18305555555556,241.3368125,4.25,0.2,0.06,1.64,2.35,2007,"marzo",26,"lunes"
"86",2007-03-27,18419,0,3019,3697,3.29652777777778,240.601979166667,3.31,0,0.54,0.67,2.1,2007,"marzo",27,"martes"
"87",2007-03-28,38898.3,1122,8527,13888,6.85458333333333,240.444611111111,7,0.2,1.53,2.5,2.77,2007,"marzo",28,"miércoles"
"88",2007-03-29,26506.7666666667,1162,460,10724,4.67680555555556,240.5366875,4.77,0.21,0.08,1.93,2.55,2007,"marzo",29,"jueves"
"89",2007-03-30,23373.2333333333,1094,468,8217,4.18958333333333,241.039229166667,4.2,0.2,0.08,1.48,2.44,2007,"marzo",30,"viernes"
"90",2007-03-31,58491.8333333333,2620,7707,17682,10.2647222222222,239.260770833333,10.52,0.47,1.39,3.18,5.48,2007,"marzo",31,"sábado"
"91",2007-04-01,46432.5333333333,4629,5401,19509,8.14944444444444,240.024486111111,8.35,0.83,0.97,3.51,3.04,2007,"abril",1,"domingo"
"92",2007-04-02,32679.6333333333,1755,970,16641,5.71263888888889,240.460118055556,5.88,0.32,0.17,2.99,2.4,2007,"abril",2,"lunes"
"93",2007-04-03,27380.3333333333,3630,1042,7637,4.84625,240.504958333333,4.93,0.65,0.19,1.37,2.72,2007,"abril",3,"martes"
"94",2007-04-04,34197.8,3434,420,14748,5.98625,240.331784722222,6.15,0.62,0.08,2.65,2.8,2007,"abril",4,"miércoles"
"95",2007-04-05,30734.6333333333,1086,4277,10523,5.49152777777778,241.173104166667,5.53,0.2,0.77,1.89,2.67,2007,"abril",5,"jueves"
"96",2007-04-06,26685.6666666667,0,5466,9166,4.68861111111111,241.184451388889,4.8,0,0.98,1.65,2.17,2007,"abril",6,"viernes"
"97",2007-04-07,25898.7333333333,1127,3111,5923,4.56458333333333,240.378590277778,4.66,0.2,0.56,1.07,2.83,2007,"abril",7,"sábado"
"98",2007-04-08,26813.6,0,485,3545,4.71986111111111,240.349180555556,4.82,0,0.09,0.64,4.09,2007,"abril",8,"domingo"
"99",2007-04-09,16682,2667,514,3801,2.97458333333333,240.550486111111,3,0.48,0.09,0.68,1.75,2007,"abril",9,"lunes"
"100",2007-04-10,12956.0666666667,209,742,2572,2.34736111111111,240.813701388889,2.33,0.04,0.13,0.46,1.7,2007,"abril",10,"martes"
"101",2007-04-11,14791.3666666667,0,1112,6421,2.61875,241.154826388889,2.66,0,0.2,1.16,1.3,2007,"abril",11,"miércoles"
"102",2007-04-12,8961.76666666667,0,541,1818,1.59791666666667,240.2560625,1.61,0,0.1,0.33,1.18,2007,"abril",12,"jueves"
"103",2007-04-13,9183.7,0,558,1988,1.64333333333333,240.050486111111,1.65,0,0.1,0.36,1.19,2007,"abril",13,"viernes"
"104",2007-04-14,9237.8,0,578,2008,1.65138888888889,240.313145833333,1.66,0,0.1,0.36,1.2,2007,"abril",14,"sábado"
"105",2007-04-15,12102.7333333333,0,1026,2893,2.18652777777778,240.2366875,2.18,0,0.18,0.52,1.48,2007,"abril",15,"domingo"
"106",2007-04-16,15873.1666666667,952,1305,4656,2.8725,240.657138888889,2.86,0.17,0.23,0.84,1.62,2007,"abril",16,"lunes"
"107",2007-04-17,20395.5666666667,1532,389,6199,3.69083333333333,240.195666666667,3.67,0.28,0.07,1.12,2.2,2007,"abril",17,"martes"
"108",2007-04-18,16637.4333333333,1579,355,3430,2.99541666666667,240.146777777778,2.99,0.28,0.06,0.62,2.03,2007,"abril",18,"miércoles"
"109",2007-04-19,17144.3,733,1605,5748,3.05583333333333,240.429840277778,3.08,0.13,0.29,1.03,1.63,2007,"abril",19,"jueves"
"110",2007-04-20,13709.6666666667,1069,360,3499,2.49486111111111,240.132895833333,2.47,0.19,0.06,0.63,1.59,2007,"abril",20,"viernes"
"111",2007-04-21,27894.2666666667,6575,463,11129,5.03569444444444,239.213236111111,5.02,1.18,0.08,2,1.76,2007,"abril",21,"sábado"
"112",2007-04-22,37228.5666666667,4264,2287,11102,6.68847222222222,239.608881944444,6.7,0.77,0.41,2,3.52,2007,"abril",22,"domingo"
"113",2007-04-23,17576.1,1402,506,6005,3.26416666666667,237.235645833333,3.16,0.25,0.09,1.08,1.74,2007,"abril",23,"lunes"
"114",2007-04-24,17201.6666666667,1125,527,6680,3.14486111111111,235.344923611111,3.09,0.2,0.09,1.2,1.6,2007,"abril",24,"martes"
"115",2007-04-25,21069.3666666667,0,1469,8812,3.85805555555556,234.941111111111,3.79,0,0.26,1.59,1.94,2007,"abril",25,"miércoles"
"116",2007-04-26,21257.7666666667,1324,1845,7163,3.92375,234.787298611111,3.82,0.24,0.33,1.29,1.96,2007,"abril",26,"jueves"
"117",2007-04-27,18238.8666666667,1772,545,4756,3.3125,235.216166666667,3.28,0.32,0.1,0.86,2,2007,"abril",27,"viernes"
"118",2007-04-28,10842.4277837451,0,18,0,2.01010577037833,235.893380993406,1.95,0,0,0,1.95,2007,"abril",28,"sábado"
"119",2007-04-29,8223.01611170784,0,0,0,1.51058002148228,235.280557196563,1.48,0,0,0,1.48,2007,"abril",29,"domingo"
"120",2007-04-30,10789.3227712137,1214,500,1131,1.9793142081394,234.806384726698,1.94,0.22,0.09,0.2,1.43,2007,"abril",30,"lunes"
"121",2007-05-01,27730.9666666667,4005,995,8546,5.07333333333333,234.678701388889,4.99,0.72,0.18,1.54,2.55,2007,"mayo",1,"martes"
"122",2007-05-02,16724.7666666667,7,1490,3754,3.14152777777778,235.582076388889,3.01,0,0.27,0.68,2.06,2007,"mayo",2,"miércoles"
"123",2007-05-03,18170.6333333333,1906,1725,7836,3.30763888888889,235.134888888889,3.27,0.34,0.31,1.41,1.21,2007,"mayo",3,"jueves"
"124",2007-05-04,16635.4666666667,2259,538,3990,3.07805555555556,235.710194444444,2.99,0.41,0.1,0.72,1.76,2007,"mayo",4,"viernes"
"125",2007-05-05,26050.8666666667,2913,2493,11303,4.73611111111111,235.035020833333,4.69,0.52,0.45,2.03,1.69,2007,"mayo",5,"sábado"
"126",2007-05-06,35035.0666666667,3215,949,10095,6.40902777777778,234.409652777778,6.3,0.58,0.17,1.82,3.73,2007,"mayo",6,"domingo"
"127",2007-05-07,27394.4,946,4935,9433,4.98097222222222,234.536972222222,4.93,0.17,0.89,1.7,2.17,2007,"mayo",7,"lunes"
"128",2007-05-08,29821.5333333333,4581,2011,8777,5.35638888888889,234.906236111111,5.36,0.82,0.36,1.58,2.6,2007,"mayo",8,"martes"
"129",2007-05-09,27762.2666666667,3018,5631,9474,5.05611111111111,234.873722222222,4.99,0.54,1.01,1.7,1.74,2007,"mayo",9,"miércoles"
"130",2007-05-10,11798.0666666667,946,534,3261,2.20680555555556,235.796256944444,2.12,0.17,0.1,0.59,1.26,2007,"mayo",10,"jueves"
"131",2007-05-11,16319.2333333333,926,491,6471,3.02763888888889,235.229756944444,2.94,0.17,0.09,1.16,1.52,2007,"mayo",11,"viernes"
"132",2007-05-12,24026.1,2247,1075,10408,4.36055555555556,234.722902777778,4.32,0.4,0.19,1.87,1.86,2007,"mayo",12,"sábado"
"133",2007-05-13,27245.6333333333,3612,2414,8958,4.96916666666667,235.708708333333,4.9,0.65,0.43,1.61,2.21,2007,"mayo",13,"domingo"
"134",2007-05-14,24463.0333333333,3176,2417,5517,4.57416666666667,235.690069444444,4.4,0.57,0.43,0.99,2.41,2007,"mayo",14,"lunes"
"135",2007-05-15,15073.2,0,408,5318,2.73333333333333,235.611993055556,2.71,0,0.07,0.96,1.68,2007,"mayo",15,"martes"
"136",2007-05-16,28215.7333333333,2213,5756,9077,5.07180555555556,235.2608125,5.08,0.4,1.04,1.63,2.01,2007,"mayo",16,"miércoles"
"137",2007-05-17,20530.2666666667,1014,2073,7687,3.72097222222222,235.868458333333,3.69,0.18,0.37,1.38,1.76,2007,"mayo",17,"jueves"
"138",2007-05-18,27192.1666666667,3270,3913,8116,4.87666666666667,235.994597222222,4.89,0.59,0.7,1.46,2.14,2007,"mayo",18,"viernes"
"139",2007-05-19,23824.0333333333,4683,530,7022,4.31930555555556,234.944722222222,4.29,0.84,0.1,1.26,2.09,2007,"mayo",19,"sábado"
"140",2007-05-20,32805.4666666667,5420,1733,7611,5.94152777777778,235.348118055556,5.9,0.98,0.31,1.37,3.24,2007,"mayo",20,"domingo"
"141",2007-05-21,18667.7,0,468,9060,3.33861111111111,234.691909722222,3.36,0,0.08,1.63,1.65,2007,"mayo",21,"lunes"
"142",2007-05-22,18880.8666666667,931,3966,3984,3.39986111111111,235.480576388889,3.4,0.17,0.71,0.72,1.8,2007,"mayo",22,"martes"
"143",2007-05-23,24415.6,956,3792,8119,4.3975,234.812493055556,4.39,0.17,0.68,1.46,2.08,2007,"mayo",23,"miércoles"
"144",2007-05-24,19239.8,955,4116,4746,3.46208333333333,235.5460625,3.46,0.17,0.74,0.85,1.7,2007,"mayo",24,"jueves"
"145",2007-05-25,26903.6666666667,8060,586,6539,4.86347222222222,234.447201388889,4.84,1.45,0.11,1.18,2.1,2007,"mayo",25,"viernes"
"146",2007-05-26,25204.1333333333,2373,2754,8628,4.56277777777778,235.069888888889,4.53,0.43,0.5,1.55,2.05,2007,"mayo",26,"sábado"
"147",2007-05-27,35896.8,4366,5534,10444,6.50652777777778,234.9084375,6.46,0.79,1,1.88,2.79,2007,"mayo",27,"domingo"
"148",2007-05-28,27291.1333333333,4554,473,9586,4.92194444444444,234.906576388889,4.91,0.82,0.09,1.72,2.28,2007,"mayo",28,"lunes"
"149",2007-05-29,17689,0,1907,4332,3.20722222222222,235.694347222222,3.18,0,0.34,0.78,2.06,2007,"mayo",29,"martes"
"150",2007-05-30,26831.1,2250,5948,7804,4.82847222222222,234.831395833333,4.83,0.4,1.07,1.4,1.96,2007,"mayo",30,"miércoles"
"151",2007-05-31,15642.5,935,477,3552,2.79180555555556,235.096527777778,2.81,0.17,0.09,0.64,1.91,2007,"mayo",31,"jueves"
"152",2007-06-01,17422.8333333333,0,483,7664,3.13493055555556,235.322965277778,3.13,0,0.09,1.38,1.66,2007,"junio",1,"viernes"
"153",2007-06-02,24739.3666666667,3971,1250,7633,4.47402777777778,234.469027777778,4.45,0.71,0.22,1.37,2.15,2007,"junio",2,"sábado"
"154",2007-06-03,35133.7666666667,4985,7529,8334,6.35291666666667,234.762375,6.32,0.9,1.35,1.5,2.57,2007,"junio",3,"domingo"
"155",2007-06-04,15193.6333333333,1585,836,4533,2.82222222222222,234.748069444444,2.73,0.29,0.15,0.82,1.47,2007,"junio",4,"lunes"
"156",2007-06-05,24314.8666666667,4484,1027,6448,4.46513888888889,234.692763888889,4.37,0.81,0.18,1.16,2.22,2007,"junio",5,"martes"
"157",2007-06-06,28263.55,3330,829,11679,5.11173611111111,234.621114583333,5.08,0.6,0.15,2.1,2.23,2007,"junio",6,"miércoles"
"158",2007-06-07,16416.7,985,699,3959,2.98236111111111,234.478805555556,2.95,0.18,0.13,0.71,1.93,2007,"junio",7,"jueves"
"159",2007-06-08,35800.7666666667,2799,11440,11380,6.44819444444444,236.197444444444,6.44,0.5,2.06,2.05,1.83,2007,"junio",8,"viernes"
"160",2007-06-09,18421,852,620,6920,3.30243055555556,240.697375,3.31,0.15,0.11,1.24,1.81,2007,"junio",9,"sábado"
"161",2007-06-10,22346.8666666667,4202,1924,5983,4.00569444444444,240.844284722222,4.02,0.76,0.35,1.08,1.83,2007,"junio",10,"domingo"
"162",2007-06-11,13244.2333333333,0,487,5328,2.41791666666667,240.85675,2.38,0,0.09,0.96,1.33,2007,"junio",11,"lunes"
"163",2007-06-12,15312.7666666667,1882,475,3898,2.85861111111111,240.224895833333,2.75,0.34,0.09,0.7,1.62,2007,"junio",12,"martes"
"164",2007-06-13,15454.5333333333,957,857,5216,2.8175,240.397604166667,2.78,0.17,0.15,0.94,1.52,2007,"junio",13,"miércoles"
"165",2007-06-14,20984.7333333333,3322,2147,7054,3.78333333333333,239.847784722222,3.78,0.6,0.39,1.27,1.52,2007,"junio",14,"jueves"
"166",2007-06-15,16493.4,2269,4011,4547,3.06625,240.464381944444,2.97,0.41,0.72,0.82,1.02,2007,"junio",15,"viernes"
"167",2007-06-16,33629.3666666667,3289,4498,11108,5.975,239.501694444444,6.05,0.59,0.81,2,2.65,2007,"junio",16,"sábado"
"168",2007-06-17,32451.5,4124,5038,8734,5.76930555555556,240.219180555556,5.84,0.74,0.91,1.57,2.62,2007,"junio",17,"domingo"
"169",2007-06-18,11307.9,0,529,4241,2.07875,240.776201388889,2.03,0,0.1,0.76,1.17,2007,"junio",18,"lunes"
"170",2007-06-19,14088.4333333333,973,537,4386,2.56569444444444,240.267069444444,2.53,0.18,0.1,0.79,1.46,2007,"junio",19,"martes"
"171",2007-06-20,17904.7666666667,1761,2588,5106,3.30680555555556,240.156166666667,3.22,0.32,0.47,0.92,1.51,2007,"junio",20,"miércoles"
"172",2007-06-21,13449.1,932,2400,3711,2.50083333333333,240.574944444444,2.42,0.17,0.43,0.67,1.15,2007,"junio",21,"jueves"
"173",2007-06-22,9438.23333333333,0,951,3482,1.80736111111111,240.835631944444,1.7,0,0.17,0.63,0.9,2007,"junio",22,"viernes"
"174",2007-06-23,7959.43333333333,0,786,2402,1.53569444444444,240.318965277778,1.43,0,0.14,0.43,0.86,2007,"junio",23,"sábado"
"175",2007-06-24,11910.9333333333,0,791,3449,2.20763888888889,241.132215277778,2.14,0,0.14,0.62,1.38,2007,"junio",24,"domingo"
"176",2007-06-25,17870.0333333333,1985,3621,4816,3.25,240.422263888889,3.21,0.36,0.65,0.87,1.33,2007,"junio",25,"lunes"
"177",2007-06-26,15748.4666666667,971,1334,5231,2.87708333333333,240.094506944444,2.83,0.17,0.24,0.94,1.48,2007,"junio",26,"martes"
"178",2007-06-27,24680.4333333333,2603,6451,7270,4.42916666666667,239.758409722222,4.44,0.47,1.16,1.31,1.5,2007,"junio",27,"miércoles"
"179",2007-06-28,21590.6333333333,0,4368,9541,3.88958333333333,239.423666666667,3.88,0,0.79,1.72,1.37,2007,"junio",28,"jueves"
"180",2007-06-29,21741.3666666667,4363,667,6797,3.94069444444444,240.179444444444,3.91,0.78,0.12,1.22,1.79,2007,"junio",29,"viernes"
"181",2007-06-30,22255.2333333333,3049,792,8376,3.97152777777778,240.011611111111,4,0.55,0.14,1.51,1.8,2007,"junio",30,"sábado"
"182",2007-07-01,17111.0666666667,969,736,4690,3.08069444444444,240.067152777778,3.08,0.17,0.13,0.84,1.94,2007,"julio",1,"domingo"
"183",2007-07-02,16117.2,1018,5281,3445,2.92777777777778,240.6718125,2.9,0.18,0.95,0.62,1.15,2007,"julio",2,"lunes"
"184",2007-07-03,17665.2,467,3214,4695,3.23069444444444,240.1869375,3.18,0.08,0.58,0.84,1.68,2007,"julio",3,"martes"
"185",2007-07-04,16723.5,2329,2218,5632,3.09541666666667,240.659631944444,3.01,0.42,0.4,1.01,1.18,2007,"julio",4,"miércoles"
